,link,#_clicks,most_freq_positioning
5520,boolean logical,,center-bottom
5521,borges,,bottom
5522,borh,,bottom
5523,bosnia,,center-top
5524,bosnia child sponsorship,,center-bottom
5525,bosnia-herzegovina,,center
5526,bosnian,,center-top
5527,bosnia and herzegovina,,bottom
5528,boston,,top
5529,boston's,,top
5530,bostonian,,center-top
5531,bostonians,,center-top
5532,botanical,,top
5533,botanically,,center-top
5534,botanist,,center
5535,botanists,,top
5536,botswana child sponsorship,,center-bottom
5537,botswana with gazza,,center
5538,bottlenose dolphins,,top
5539,bovine,,center-top
5540,boy scouts,,center
5541,boyle,,center-bottom
5542,bp chemicals,,center-top
5543,br,,center-top
5544,br2,,center
5545,brabham racing organisation,,center-top
5546,brahmanistic,,top
5547,brahmanor,,center
5548,brain scans,,center-top
5549,brains,,center-top
5550,brass,,center-bottom
5551,brass instruments,,top
5552,brazil child sponsorship,,center-bottom
5553,brazil's,,top
5554,brazilian,,center-bottom
5555,brazilian diamonds,,center
5556,brazilians,,center
5557,bre,,top
5558,breads,,center-top
5559,breakout from normandy,,top
5560,breakup,,bottom
5561,bretton woods,,top
5562,bretton woods agreements,,top
5563,brewer's yeast,,top
5564,brewers yeast,,top
5565,brick by brick,,center-top
5566,bridges,,top
5567,brighton museum,,center-bottom
5568,bristol medical school,,top
5569,brit,,center
5570,britain,,top
5571,britain and france were at war,,center
5572,britain or ireland,,top
5573,britain's,,top
5574,britannia,,top
5575,british,,top
5576,british broadcasting corporation,,top
5577,british colonial rule,,center-top
5578,british colonialism,,top
5579,british colonies,,center-top
5580,british colonists,,center-top
5581,british colony,,top
5582,british conquest,,center-bottom
5583,british crown,,top
5584,british crown jewels,,center-bottom
5585,british crown's,,center-bottom
5586,british empire games,,bottom
5587,british empires,,bottom
5588,british flag,,bottom
5589,british government,,bottom
5590,british imperialism,,top
5591,british models,,top
5592,british monarch,,top
5593,british naval,,top
5594,british navy,,center-top
5595,british parliament,,top
5596,british politics,,top
5597,british pound,,bottom
5598,british prime minister,,top
5599,british prime ministers,,bottom
5600,british royal navy,,bottom
5601,british rule,,top
5602,british sovereign,,top
5603,british sovereign base area of dhekelia,,center-bottom
5604,british virgin islands,,bottom
5605,britons,,center-bottom
5606,britten,,bottom
5607,broad bean,,center
5608,broadbeans,,bottom
5609,broadcast,,top
5610,broadcaster,,center-top
5611,broadcasters,,center-bottom
5612,broadcasts,,center-bottom
5613,broads,,center
5614,broke up,,center-bottom
5615,bronchogenic carcinoma,,top
5616,brontosaurus,,center-top
5617,brown,,bottom
5618,brunei darussalam,,bottom
5619,brunel's,,center
5620,brushes,,center-top
5621,brute force,,center-bottom
5622,bryce,,center
5623,buchanan,,center-top
5624,buckingham house,,top
5625,buddha siddhartha gautama,,center
5626,buddha siddhartha guatama,,center
5627,buddhahood,,center
5628,buddhas,,bottom
5629,buddhist,,bottom
5630,buddhist faith,,top
5631,buddhists,,bottom
5632,buffalo,,center-top
5633,bulgaria child sponsorship,,center-bottom
5634,bulgarian,,center
5635,bulgarians,,center
5636,bull,,center-top
5637,bull sharks,,bottom
5638,burke,,top
5639,burkina faso child sponsorship,,center
5640,burkina faso,,bottom
5641,burma,,center-bottom
5642,burmese,,center-top
5643,burning,,bottom
5644,burns,,top
5645,burton,,center-top
5646,burundi child sponsorship,,center-bottom
5647,bush,,center-bottom
5648,bush (43),,center-bottom
5649,bush administration,,top
5650,bushbucks,,center-top
5651,businesses,,center-top
5652,businessman,,center-top
5653,businessmen,,center
5654,buttery,,top
5655,buttons,,center
5656,by name,,top
5657,byron,,bottom
5658,byronic,,bottom
5659,byzantine,,top
5660,byzantine emperor,,center-top
5661,byzantine emperors,,center-top
5662,byzantine empires,,bottom
5663,byzantine greek,,top
5664,byzantine greeks,,top
5665,byzantines,,top
5666,byzantium,,top
5667,c,,top
5668,c-t boundary,,bottom
5669,ca,,center-bottom
5670,cache memories,,center-bottom
5671,cacl2,,center-top
5672,cacti,,top
5673,cactii,,center-top
5674,cae,,center-bottom
5675,caesar,,bottom
5676,caesar augustus,,top
5677,caesar ciphers,,center
5678,caesarean,,bottom
5679,calcified,,top
5680,calculating local time,,center
5681,calcutta,,center-top
5682,california state quarter,,center-top
5683,california's,,center
5684,californian,,center-top
5685,callaghan,,bottom
5686,calligraphers,,top
5687,calvin,,top
5688,calvinball,,bottom
5689,camarasaur,,center
5690,cambodia child sponsorship,,center-bottom
5691,cambodian,,center-bottom
5692,cambodians,,center-bottom
5693,cambridge university,,top
5694,camels,,top
5695,cameroon child sponsorship,,center-bottom
5696,camp mauthausen,,center-top
5697,campbellian,,bottom
5698,canada child sponsorship,,center-top
5699,canada geese,,bottom
5700,canada's,,center
5701,canada's charter of rights and freedoms,,center
5702,canadian,,top
5703,canadian pacific railway (cpr),,bottom
5704,canadian parliament,,center-top
5705,canadian rules,,top
5706,canadians,,bottom
5707,canalettos,,center-bottom
5708,canals,,center-top
5709,cancerous,,top
5710,cancers,,center-top
5711,cane sugar,,bottom
5712,canis lupus,,center-bottom
5713,canis mesomelas,,top
5714,canis simensis,,top
5715,cannae,,bottom
5716,canterbury and anglicanism,,center
5717,canterbury monks,,center
5718,canton,,center-top
5719,cantonese,,center-top
5720,cantor,,center-bottom
5721,canute,,center-top
5722,cape,,bottom
5723,cape verde child sponsorship,,center
5724,cape verde islands,,center-top
5725,cape verdean,,top
5726,cape verdeans,,center
5727,cape verde,,bottom
5728,capital cities,,top
5729,capital city,,top
5730,capital of the seychelles,,bottom
5731,capitalist,,top
5732,capitalist system,,center
5733,capitalistic,,bottom
5734,capitalists,,center-top
5735,capitals,,bottom
5736,captain cook,,bottom
5737,captain james cook,,center
5738,captain mccluskey,,top
5739,car,,bottom
5740,carboniferous period,,center-top
5741,card games,,bottom
5742,cardinal ratzinger,,center-bottom
5743,cardinal ratzinger (now pope benedict xvi),,center-bottom
5744,cardinals,,center-bottom
5745,cards,,center-top
5746,cards@soschildrensvillages.org.uk,,center-top
5747,carefree,,center
5748,caribbean,,center
5749,carl gauss,,center-top
5750,carlos i of spain,,top
5751,carlos ⅰ,,center
5752,carnivores,,top
5753,carnivorous,,top
5754,caroline,,center
5755,caroline@soschildren.org,,center-bottom
5756,carolingians,,center
5757,carrier,,top
5758,carriers,,center-top
5759,carrots,,center
5760,cars,,center
5761,carter,,center
5762,cartesian,,bottom
5763,casablanca,,center
5764,case definition,,center-top
5765,caspian,,center
5766,caspian seas,,center-bottom
5767,cassini,,top
5768,cassini spacecraft,,center-top
5769,cassowaries,,top
5770,castilian,,center
5771,castrum,,top
5772,cataracts,,center
5773,cathedral,,top
5774,catherine ii,,center
5775,catherine the great,,top
5776,catholic,,top
5777,catholic church,,top
5778,catholic theology and imagery,,center-bottom
5779,catholicism,,center-bottom
5780,catholics,,center-bottom
5781,cats,,center
5782,cattle rearing,,center
5783,causantín,,top
5784,causantín ii,,top
5785,caustantín mac áeda,,center-bottom
5786,caustic,,center-bottom
5787,caustic soda,,center
5788,caves,,top
5789,cayman islands,,bottom
5790,cb,,top
5791,cd,,top
5792,cds,,top
5793,ce,,center-bottom
5794,cell,,top
5795,cellist,,top
5796,cells,,top
5797,cellular,,top
5798,celtic,,top
5799,celtic football club,,center-top
5800,celtic tenor james nelson wrote an article,,center-bottom
5801,celtic's support,,center-bottom
5802,celts,,center
5803,central african republic child sponsorship,,center-bottom
5804,central and south american child sponsorship,,center
5805,central mediterranean,,top
5806,central african republic,,bottom
5807,ceramics,,center
5808,ceratopsid,,top
5809,cereal crop,,top
5810,cereal grain,,top
5811,cereals,,center
5812,cerebellar,,bottom
5813,cerebellums,,center-bottom
5814,ceres,,center-top
5815,cervantes,,bottom
5816,ceylon,,center-bottom
5817,ceylon (sri lanka),,center-bottom
5818,ceylonese,,center-bottom
5819,cf,,bottom
5820,ch,,center
5821,ch3cooh,,center-top
5822,chach,,top
5823,chad child sponsorship,,center
5824,chain-smoking,,center-bottom
5825,chaldeans,,top
5826,challenge,,center-top
5827,challenge-tastic!,,center-top
5828,challenger,,top
5829,challenger accident,,center-bottom
5830,challenger disaster,,center-bottom
5831,change a child's life today,,bottom
5832,changes,,top
5833,changing a child's life today and give them a future,,center-bottom
5834,channel,,top
5835,channel island,,top
5836,chant,,center-top
5837,chaos in russia,,top
5838,characteristics of the instrument,,top
5839,charge,,top
5840,charge of electricity,,bottom
5841,charged,,center
5842,charged particles,,top
5843,charger,,top
5844,charges,,top
5845,charity and youth projects,,top
5846,charity challenge,,center-bottom
5847,charity challenges,,center-bottom
5848,charity news,,center-top
5849,charity's   africa,,center-bottom
5850,charity's african,,center-bottom
5851,charity's footballing links,,center-top
5852,charles,,top
5853,charles i,,top
5854,charles ii,,top
5855,charles of spain,,top
5856,charles quint,,top
5857,charles v,,top
5858,"charles v, king of spain",,center
5859,"charles, prince of wales",,center
5860,charley,,top
5861,chart,,center-bottom
5862,charter of rights,,center
5863,chartist,,top
5864,che guevara's,,top
5865,cheeses,,bottom
5866,cheetahs,,top
5867,chelonia,,center-top
5868,chelsea,,center
5869,chemical,,top
5870,chemical composition,,top
5871,chemical elements,,center
5872,chemically,,top
5873,chemist,,top
5874,chemists,,top
5875,cheng ho,,center-top
5876,cherish,,center
5877,chernobyl,,center-top
5878,chernobyl accident,,top
5879,chestnut tree,,bottom
5880,chestnuts,,center
5881,chew court,,center
5882,chew magna manor house,,center
5883,chicago's,,bottom
5884,"chicago, il",,center-top
5885,"chicago, illinois",,top
5886,chickens,,top
5887,chicks,,center
5888,child photograph 1,,top
5889,child photograph 10,,top
5890,child photograph 11,,top
5891,child photograph 12,,center-top
5892,child photograph 13,,center-top
5893,child photograph 14,,center-top
5894,child photograph 15,,center-top
5895,child photograph 16,,center-top
5896,child photograph 17,,center-top
5897,child photograph 18,,center-top
5898,child photograph 19,,center-top
5899,child photograph 2,,top
5900,child photograph 20,,center-top
5901,child photograph 21,,center-top
5902,child photograph 22,,center-top
5903,child photograph 23,,center-top
5904,child photograph 24,,center-top
5905,child photograph 25,,center-top
5906,child photograph 26,,center
5907,child photograph 27,,center
5908,child photograph 28,,center
5909,child photograph 29,,center
5910,child photograph 3,,top
5911,child photograph 30,,center
5912,child photograph 31,,center
5913,child photograph 32,,center
5914,child photograph 33,,center
5915,child photograph 34,,center
5916,child photograph 35,,center
5917,child photograph 36,,center
5918,child photograph 37,,center
5919,child photograph 38,,center
5920,child photograph 39,,center
5921,child photograph 4,,top
5922,child photograph 40,,center-bottom
5923,child photograph 41,,center-bottom
5924,child photograph 42,,center-bottom
5925,child photograph 43,,center-bottom
5926,child photograph 44,,center-bottom
5927,child photograph 45,,center-bottom
5928,child photograph 46,,center-bottom
5929,child photograph 47,,center-bottom
5930,child photograph 48,,center-bottom
5931,child photograph 49,,center-bottom
5932,child photograph 5,,top
5933,child photograph 50,,center-bottom
5934,child photograph 51,,center-bottom
5935,child photograph 52,,center-bottom
5936,child photograph 53,,bottom
5937,child photograph 54,,bottom
5938,child photograph 55,,bottom
5939,child photograph 56,,bottom
5940,child photograph 57,,bottom
5941,child photograph 58,,bottom
5942,child photograph 59,,bottom
5943,child photograph 6,,top
5944,child photograph 60,,bottom
5945,child photograph 61,,bottom
5946,child photograph 62,,bottom
5947,child photograph 63,,bottom
5948,child photograph 7,,top
5949,child photograph 8,,top
5950,child photograph 9,,top
5951,child poverty,,bottom
5952,child soldier projects,,top
5953,child soldiers,,center-top
5954,child sponsors,,top
5955,child sponsorship,,center
5956,child sponsorship directory,,center-top
5957,child sponsorship examples,,center-bottom
5958,child sponsorship faqs,,center
5959,childhood,,top
5960,children,,top
5961,children's toys,,top
5962,chile child sponsorship,,center-bottom
5963,chilean,,center-bottom
5964,chilean coast,,center
5965,chileans,,bottom
5966,chimp,,center
5967,chimpanzees,,bottom
5968,china child sponsorship,,center-bottom
5969,china's,,center
5970,chinese,,top
5971,chinese civilization,,bottom
5972,chinese languages,,bottom
5973,chinese yuan,,center
5974,chinese-language,,center-bottom
5975,chips,,center-top
5976,chloride,,center
5977,chlorine gas,,top
5978,chlorobenzylidene malonitrile,,center
5979,chocolates,,center-bottom
5980,chola,,center-bottom
5981,choladesha,,center-top
5982,chomsky,,center
5983,chomsky's,,top
5984,chopin,,center-top
5985,chordata,,center
5986,chordates,,center-top
5987,chris evert-lloyd,,center-bottom
5988,chrissy.davey@soschildren.org,,center-bottom
5989,chrissy@soschildren.org,,bottom
5990,christ,,center-top
5991,christ church,,center
5992,christian,,top
5993,christian crusaders,,bottom
5994,christian era,,top
5995,christian faith,,top
5996,christian humility,,bottom
5997,christian religion,,center-bottom
5998,christiania,,center-top
5999,christians,,bottom
6000,church,,bottom
6001,church of rome,,center-bottom
6002,churchill,,bottom
6003,churchillian,,top
6004,ciders,,center-bottom
6005,cigarette smokers,,bottom
6006,cinema,,top
6007,cinema films,,top
6008,circulating currencies,,top
6009,circulating libraries,,center-top
6010,cites,,bottom
6011,cites appendix i,,center
6012,cities,,center-bottom
6013,citizen,,top
6014,citizenry,,top
6015,citizens,,top
6016,citrus ×limon,,top
6017,city charter,,center-top
6018,city of cardiff,,bottom
6019,city of edinburgh,,center-bottom
6020,city of paris,,bottom
6021,city parks,,center
6022,city status,,top
6023,city status in the uk,,top
6024,city-states of italy,,top
6025,civic,,center
6026,civil,,center-bottom
6027,civil rights movement,,top
6028,civil war,,top
6029,civil war in the democratic republic of congo,,top
6030,civil warfare,,center-top
6031,civilisation,,center-top
6032,civilisations,,top
6033,civilization series of computer games,,bottom
6034,civilizations,,top
6035,civilized,,top
6036,cl,,top
6037,cl2,,center-top
6038,clarinets,,center
6039,class,,center
6040,classical greece,,top
6041,classical greek,,top
6042,classical myth,,top
6043,classification,,top
6044,classification scheme,,top
6045,classified,,center
6046,classifying,,center-top
6047,clayey,,center
6048,clays,,center-bottom
6049,cleopatra,,center-bottom
6050,cleveland,,top
6051,click here,,center-bottom
6052,climate changes,,top
6053,climates,,center-top
6054,climatic,,bottom
6055,climatic change,,center
6056,climatic types,,center-top
6057,clinical,,top
6058,clinically,,center-bottom
6059,clinton,,center-top
6060,clinton administration,,center-bottom
6061,clintonesque,,center-top
6062,clocks,,center-bottom
6063,clone wars,,top
6064,clothe,,top
6065,cloudless,,bottom
6066,clouds,,top
6067,cloudtops,,center-top
6068,cloudy,,center-bottom
6069,cm,,center-bottom
6070,cmb,,center-bottom
6071,cnut,,top
6072,co-operative,,center-bottom
6073,co-operative society,,center-bottom
6074,co2,,center-bottom
6075,co2 (carbon dioxide),,center
6076,coal gasification,,center
6077,coal gasification and liquefaction,,bottom
6078,coaling,,center-top
6079,coals,,bottom
6080,coastal redwood,,top
6081,coat of arms,,center
6082,cochineal dye,,center-top
6083,cochineal insects,,center-top
6084,cockatiels,,center-bottom
6085,coconut crabs,,bottom
6086,coconuts,,center-bottom
6087,code,,center
6088,code of football,,top
6089,codex hammurabi,,center-top
6090,codon,,center-top
6091,codons,,top
6092,coffees,,center-bottom
6093,coinage,,top
6094,coins,,top
6095,cold,,center-bottom
6096,colds,,center
6097,coleoptera,,center-bottom
6098,coleridge,,top
6099,collapse of the world trade centre,,center-bottom
6100,colombia child sponsorship,,center-bottom
6101,colombian,,bottom
6102,colombians,,center-top
6103,colonel robert baden-powell,,top
6104,colonial,,top
6105,colonies,,top
6106,colorado,,center
6107,colorado rivers,,center-bottom
6108,colored,,center
6109,coloring,,center-bottom
6110,colorless,,top
6111,colors,,top
6112,colossal,,top
6113,colossal statue,,top
6114,colour,,top
6115,colour blind,,center
6116,colour blindness,,center-top
6117,colour deficiencies,,center-top
6118,colouration,,center-top
6119,colours,,top
6120,columbia,,top
6121,columbia disaster,,bottom
6122,columbia space shuttle disaster,,top
6123,columbidae,,top
6124,columbus,,bottom
6125,combined,,top
6126,comet's,,center
6127,cometary,,bottom
6128,comets,,center
6129,comic book adaptations,,top
6130,commercial business,,top
6131,commercial production,,center-top
6132,commercial radio,,center-bottom
6133,commercially important,,top
6134,commercials,,bottom
6135,commodore 64s,,center
6136,common,,bottom
6137,common colds,,center-bottom
6138,commons,,top
6139,commons chamber,,top
6140,commonwealth,,bottom
6141,commune,,top
6142,communes,,top
6143,communicate,,top
6144,communications,,top
6145,communicative,,top
6146,communist,,top
6147,communist china,,center-bottom
6148,communist system,,top
6149,communists,,top
6150,communities,,top
6151,community@worldorphanweek.com,,center-bottom
6152,compact discs,,top
6153,companies,,top
6154,company,,center-bottom
6155,company law,,center-top
6156,composites,,center
6157,composition and colour,,top
6158,comprehensive fundraising toolkit pdf,,top
6159,computational,,center-bottom
6160,computer game,,top
6161,computer games,,bottom
6162,computer models,,center-top
6163,computer scientist,,top
6164,computer scientists,,bottom
6165,computer technology,,top
6166,computerisation,,top
6167,computers,,top
6168,comuni,,top
6169,conflicts,,top
6170,confrontation with azerbaijan over nagorno-karabakh,,center-top
6171,confucian,,bottom
6172,confucian principles,,top
6173,confucianist,,center-bottom
6174,confucians,,center-top
6175,congo,,center-top
6176,congo (brazzaville),,bottom
6177,congo (kinsasha),,bottom
6178,congo basin,,center-bottom
6179,congo river system,,center
6180,congo rivers,,center
6181,congo-brazzaville,,bottom
6182,congolese,,center
6183,congress,,top
6184,congressional,,center-top
6185,congressman,,top
6186,congressmen,,top
6187,congresswoman,,center-bottom
6188,conquest,,center-bottom
6189,consequences,,center-bottom
6190,conservation of momentum,,top
6191,consists,,center-bottom
6192,constable,,center-bottom
6193,constantine,,center-top
6194,constantinople,,center
6195,constitution,,center
6196,constitution of the united states,,bottom
6197,constitutional,,center-top
6198,constitutional government,,center-bottom
6199,constitutional monarch,,bottom
6200,constitutional monarchies,,top
6201,constitutional rights,,bottom
6202,constructivism,,center-top
6203,constructivist,,top
6204,consumption,,center-top
6205,contact lenses,,center
6206,contact us,,bottom
6207,contents page,,center-bottom
6208,continental,,top
6209,continental ice sheets,,top
6210,continents,,top
6211,continuing civil strife,,center
6212,convent,,center-top
6213,convertibility of the dollar to gold,,center
6214,convocation,,center-bottom
6215,cook,,center-bottom
6216,cook's,,center
6217,cookie,,center-bottom
6218,cookiecutter sharks,,center-top
6219,cool,,center-top
6220,cooperatives,,top
6221,copernican,,center-bottom
6222,copernican system,,top
6223,copernicanism,,top
6224,copernicus,,top
6225,copernicus' observatory,,top
6226,corfu,,center
6227,cormorants,,bottom
6228,corn,,center
6229,corneal,,top
6230,corneas,,center
6231,cornell theory centre,,bottom
6232,corporate,,center-bottom
6233,corporations,,center-top
6234,corrode,,top
6235,corrodes,,center
6236,corrosive,,top
6237,corrosively,,bottom
6238,cos,,top
6239,cosmetic,,bottom
6240,cosmic background radiation,,top
6241,cosmic microwave background,,top
6242,costa rica child sponsorship,,center-bottom
6243,costa rican,,top
6244,costume designer,,center
6245,cottonseed,,bottom
6246,coulomb force,,center-bottom
6247,coulombic forces,,center-top
6248,council,,center-bottom
6249,council of nicaea,,top
6250,countries,,top
6251,country directory,,top
6252,country villas,,top
6253,couplers,,center-top
6254,couplings,,center
6255,court,,bottom
6256,cow,,center
6257,cows,,top
6258,cp,,top
6259,cpu,,top
6260,cpu caches,,center-top
6261,cpus,,bottom
6262,cr,,center-bottom
6263,cradle of civilization,,center
6264,crater,,center
6265,craters of the moon national monument,,center-top
6266,cratons,,center-top
6267,created,,top
6268,creation,,center
6269,creationist,,bottom
6270,creationists,,center-bottom
6271,crests,,center-bottom
6272,cretaceous-tertiary extinction,,bottom
6273,crick,,center-bottom
6274,cricket ground,,center-bottom
6275,cricketer,,top
6276,cricketers,,top
6277,cricketing,,top
6278,crickets,,center-bottom
6279,crimes,,bottom
6280,crimes against peace and humanity,,center-top
6281,criminal,,top
6282,criminal activity,,center-bottom
6283,criminal offences,,center-top
6284,criminals,,center-top
6285,criticism,,top
6286,croatia child sponsorship,,center-bottom
6287,croatian,,center
6288,crocodiles,,top
6289,cromwell,,center-top
6290,cromwell's,,top
6291,crop,,center
6292,crop-based,,bottom
6293,crops,,top
6294,crops time,,bottom
6295,cross-channel,,center-top
6296,cross-eyed,,center-top
6297,cross-flute,,center-bottom
6298,crossed the atlantic,,center-top
6299,crown,,top
6300,crown jewels,,bottom
6301,crows,,center-top
6302,crude oil,,center-bottom
6303,crusade,,center
6304,crusader,,center
6305,crusaders,,center-top
6306,crusading,,center-bottom
6307,crust,,top
6308,crustaceans,,top
6309,crustal,,bottom
6310,crusts,,center-top
6311,cryptographic,,center
6312,cryptographically,,center-bottom
6313,cryptology,,center-bottom
6314,crystalline,,top
6315,crystalline lens,,center-top
6316,crystallising,,center-top
6317,crystallization,,top
6318,crystallize,,top
6319,crystals,,top
6320,cu,,center-top
6321,cuban,,center-top
6322,cubans,,center-top
6323,cubeb pepper,,top
6324,cubist,,bottom
6325,cubists,,center-top
6326,cuckoo,,center-top
6327,culinary fruits,,top
6328,cultivar group,,center-top
6329,cultivar groups,,center-top
6330,cultivars,,center-top
6331,cultivate,,center-bottom
6332,cultivated,,top
6333,cultivation,,bottom
6334,cultural,,top
6335,cultural differences,,center-bottom
6336,cultural oppression,,top
6337,culturally,,bottom
6338,cultures,,top
6339,curie,,bottom
6340,currencies,,top
6341,current composition,,center-top
6342,current global climate change,,bottom
6343,current monarch,,center
6344,cut flowers,,top
6345,cut grading,,center
6346,cycles,,center
6347,cyclones,,center
6348,cyclopes,,center-top
6349,cypriot,,center
6350,cyrus,,center
6351,czech,,center-top
6352,czech child sponsorship,,center-bottom
6353,cædmon's hymn,,top
6354,céline dion,,bottom
6355,cézanne,,center
6356,côte d'ivoire (ivory coast),,bottom
6357,côte d'ivoire,,bottom
6358,côte d'ivoire (ivory coast),,bottom
6359,d,,top
6360,d. anglica,,center
6361,d.c.,,top
6362,d2 vodafone,,center
6363,da vinci,,center-bottom
6364,dadaism,,top
6365,dadaist,,center-top
6366,dadaists,,center-bottom
6367,dahomey,,center-top
6368,daily,,center-bottom
6369,dalai lama,,center
6370,dali,,center-top
6371,dallas,,center
6372,dalriadic,,center-bottom
6373,dalí,,bottom
6374,dammed,,bottom
6375,damming,,bottom
6376,dams,,center-bottom
6377,dancer,,center-bottom
6378,dances,,center-bottom
6379,dancing,,top
6380,dandelions,,top
6381,dane,,center-bottom
6382,danes,,center
6383,danish,,top
6384,dante,,top
6385,dante aligheri,,center-bottom
6386,dante alighieri's,,center
6387,dante's,,center
6388,dantes,,center-bottom
6389,danube river,,top
6390,danube valley,,center
6391,dao de jing,,center-bottom
6392,darfur,,center
6393,dark age,,center-bottom
6394,darling,,top
6395,darwin,,center
6396,darwin's,,center
6397,darwinian,,top
6398,darwinian evolution,,center-bottom
6399,darwinian theory,,center-top
6400,david,,center-top
6401,david copperfield,,center-bottom
6402,davy,,center
6403,daylight,,center
6404,days,,top
6405,deadlock of the trenches,,top
6406,debate about creationism and evolution,,bottom
6407,decade volcano,,center
6408,decades of war,,top
6409,declaration of american independence,,center-bottom
6410,declaration of independence,,top
6411,declared their independence,,top
6412,declared war,,center-top
6413,declawed,,center-bottom
6414,decline of populations of pollinator,,center
6415,declined,,center-top
6416,decomposition,,bottom
6417,deconstructivist,,bottom
6418,deep-ultraviolet,,center
6419,defending britain,,center-top
6420,"define the term ""planet""",,top
6421,"definition of ""planet""",,center-top
6422,definition of a planet,,center-top
6423,definition of the term planet,,center-top
6424,degradation of soils,,top
6425,deinonychus antirrhopus,,bottom
6426,deities,,center-bottom
6427,deluge,,center-top
6428,deluge in mythology,,top
6429,demand,,top
6430,demand meets supply,,bottom
6431,demineralized,,center
6432,democracies,,bottom
6433,democratic,,top
6434,democratic federal yugoslavia,,center-top
6435,democratic governments,,center
6436,democratic people's republic of korea,,bottom
6437,democratic republic of congo,,center
6438,democratic republic of the congo child sponsorship,,center-bottom
6439,democratic system,,top
6440,democratically,,top
6441,democratically elected,,center-bottom
6442,democratic republic of the congo,,bottom
6443,democratization,,bottom
6444,democratize,,center
6445,democrats,,top
6446,demographics,,center-bottom
6447,demographics of south africa,,top
6448,dennis,,bottom
6449,denver,,top
6450,deoxyribonucleic acid,,center
6451,depletion of the ozone layer,,center-top
6452,des,,center
6453,descartes,,top
6454,descartes's,,center
6455,desert locusts,,center-top
6456,deserts,,top
6457,despot,,center
6458,despotates,,center-bottom
6459,despotic,,center-bottom
6460,detached,,top
6461,detroit,,top
6462,detroit's,,top
6463,deuteranopia,,top
6464,devotion to his mother,,center-top
6465,diabetes,,center
6466,diagnosis,,center-bottom
6467,diamonds,,top
6468,diary,,center-top
6469,diary of forthcoming events,,center
6470,dick and enid eyeington,,top
6471,die,,bottom
6472,differential equations,,top
6473,dihydrogen,,center-bottom
6474,dik-diks,,center
6475,dingoes,,center-bottom
6476,dinitrogen,,center-bottom
6477,dinosauria,,top
6478,dinosaurs,,top
6479,dirac,,center-bottom
6480,dirac's,,top
6481,dirigible,,center-top
6482,dirigible balloons,,top
6483,dirigibles,,bottom
6484,disciplinary rules,,center-bottom
6485,discover vietnam,,center
6486,discussion,,top
6487,diseases and pests,,top
6488,disintegrated,,bottom
6489,disintegrated during re-entry,,top
6490,disintegration,,center
6491,disk,,center-top
6492,disputed,,top
6493,disraeli,,bottom
6494,distilled beverages,,center-bottom
6495,distilled spirits,,center-top
6496,distributions of gnu,,center
6497,district of columbia,,center-bottom
6498,district of mannheim,,center-bottom
6499,distrito federal,,top
6500,diverse,,center-bottom
6501,diverse wildlife,,top
6502,diversity,,center-top
6503,divided,,center-bottom
6504,divine,,top
6505,divine creation,,bottom
6506,dmitri ivanovich mendeleev,,bottom
6507,dodo birds,,center-bottom
6508,dodos,,center-bottom
6509,dogs,,bottom
6510,dollar,,top
6511,dollars,,center
6512,dolphins,,center
6513,domesday,,top
6514,domestic cow,,bottom
6515,domestic dog,,top
6516,dominance of democracy,,top
6517,dominican,,center-top
6518,dominican rep.,,bottom
6519,dominican republic child sponsorship,,center-bottom
6520,dominicans,,center
6521,donate,,center
6522,donate and help,,center-top
6523,donate here,,center
6524,donate now!,,center
6525,donating to charity through ebay,,center
6526,donation form,,top
6527,donation of advertising space for sos children in the world cup stadiums,,center
6528,donation or sponsoring a child,,center-bottom
6529,donations of alexandria,,center
6530,dostoevsky,,top
6531,double-decker buses,,center
6532,double-decker busses,,bottom
6533,double-deckers,,top
6534,doves,,top
6535,down's syndrome,,top
6536,download an information sheet on wow,,center
6537,download our simple form here,,center
6538,download our simple payroll giving form here,,center
6539,dr rowan douglas williams,,center-top
6540,"dr. martin luther king, jr.",,bottom
6541,drafting and ratification,,center
6542,dragon of bosnia,,center
6543,drama department,,center
6544,dramatic,,bottom
6545,dramatist,,center-bottom
6546,drawings,,top
6547,dress,,center
6548,dried-fruit packing,,center-bottom
6549,drift,,center-top
6550,drinker,,bottom
6551,drosophila fruit flies,,center-bottom
6552,droughts,,center-top
6553,drury lane,,top
6554,drury lane theatre,,center
6555,dry ice,,top
6556,dualism,,top
6557,"dubai, united arab emirates",,center
6558,duke,,center
6559,duke of clarence and st andrews,,top
6560,duke of wellington,,center-bottom
6561,duke of windsor,,center-top
6562,duke of york,,center
6563,duke of york and albany,,top
6564,dummies,,bottom
6565,duna,,bottom
6566,dundee united,,bottom
6567,dundonian,,center-top
6568,dunes,,center
6569,dunga’s visit to the sos children’s village ammersee,,center-top
6570,dunnocks,,center-top
6571,dutch,,top
6572,dutch dialects,,top
6573,dutch-language,,bottom
6574,dvd-rom,,top
6575,dvds,,top
6576,dvořák,,center-bottom
6577,dwight eisenhower,,top
6578,dying off,,center-bottom
6579,dylan,,center-top
6580,dymitriads,,center-top
6581,dynastic egyptian civilization,,top
6582,dál riatans,,center-top
6583,dürer,,bottom
6584,dürer renaissance,,top
6585,e.u.,,center-top
6586,each book,,top
6587,eagle palms,,center-bottom
6588,eagle scout,,top
6589,eagle scout award,,center
6590,eagles,,top
6591,ealing,,center-bottom
6592,early 10th century,,top
